Equipo;Calificación del equipo;Tipo;Tipo.num;Capacitancia C1;Capacitancia C2;Capacitancia total;Factor de Potencia 10kV C1;Factor de Potencia 10kV Ctotal;Factor de Potencia 2.5kV C1;Factor de Potencia 2.5kV Ctotal;Factor de Potencia 2kV C2;Fuga de aceite;Inspección diafragma;Inspección visual general;Nivel de aceite;Severidad por termografía
54;FUN;IMB;0;830.48;25744.88;838.87;0.267;0.1438;0.267;0.1438;0.198;0;0;0;0;5
55;SEG;IMB;0;770.38;24652.16;747.0351515;0.163;0.166;0.163;0.17;0.17;0;0;0;0;3
56;FUN;IMB;0;805.76;24978.56;799.05;0.136;0.1991;0.136;0.1991;0.225;0;0;0;0;5
57;FUN;IMB;0;821.42;25464.02;816.2;0.221;0.1979;0.221;0.1979;0.24;0;0;0;0;5
58;FUN;IMB;0;831.88;25788.28;833.5;0.206;0.2917;0.206;0.2917;0.215;0;0;0;0;5
59;FUN;IMB;0;782.26;24250.06;777.7;0.168;0.1964;0.168;0.1964;0.178;0;0;0;0;5
60;FUN;IMB;0;866.98;26876.38;862.42;0.18;0.2544;0.18;0.2544;0.157;0;0;0;0;5
61;FUN;IMB;0;785.6;24353.6;790.2;0.264;0.2697;0.264;0.2697;0.239;0;0;0;0;5
62;FUN;IMB;0;900.97;27930.07;905.39;0.192;0.1795;0.192;0.1795;0.208;0;0;0;0;5
63;FUN;IMB;0;854.79;26498.49;860.11;0.242;0.262;0.242;0.262;0.221;0;0;0;0;5
64;FUN;IMB;0;849.51;26334.81;852.26;0.221;0.1621;0.221;0.1621;0.197;0;0;0;0;5
65;FUN;IMB;0;845.04;26196.24;851.02;0.174;0.2694;0.174;0.2694;0.142;0;0;0;0;5
66;FUN;IMB;0;840.85;26066.35;853.07;0.147;0.2503;0.147;0.2503;0.23;0;0;0;0;5
67;FUN;IMB;0;834.02;25854.62;842.95;0.161;0.2415;0.161;0.2415;0.2;0;0;0;0;5
68;FUN;IMB;0;873.66;27083.46;872.82;0.177;0.252;0.177;0.252;0.231;0;0;0;0;5
69;FUN;IMB;0;837.25;25954.75;829.5;0.183;0.2505;0.183;0.2505;0.243;0;0;0;0;5
70;FUN;IMB;0;815.39;25277.09;810.12;0.237;0.2515;0.237;0.2515;0.17;0;0;0;0;5
71;FUN;IMB;0;835.47;25899.57;842.14;0.177;0.2163;0.177;0.2163;0.224;0;0;0;0;5
72;FUN;IMB;0;876.71;27178.01;895.41;0.123;0.1663;0.123;0.1663;0.131;0;0;0;0;5
73;FUN;IMB;0;872.72;27054.32;876.98;0.193;0.1503;0.193;0.1503;0.245;0;0;0;0;5
74;FUN;IMB;0;853.66;26463.46;855.36;0.247;0.2539;0.247;0.2539;0.192;0;0;0;0;5
75;FUN;IMB;0;834.67;25874.77;836.22;0.144;0.2525;0.144;0.2525;0.215;0;0;0;0;5
76;FUN;IMB;0;827.1;25640.1;824.21;0.168;0.1833;0.168;0.1833;0.233;0;0;0;0;5
77;FUN;IMB;0;820.78;25444.18;825.65;0.266;0.2628;0.266;0.2628;0.189;0;0;0;0;5
78;FUN;IMB;0;794.7;24635.7;796.9;0.264;0.2792;0.264;0.2792;0.241;0;0;0;0;5
79;FUN;IMB;0;790.67;24510.77;795.34;0.249;0.1813;0.249;0.1813;0.144;0;0;0;0;5
80;FUN;IMB;0;782.59;24260.29;779.61;0.25;0.2543;0.25;0.2543;0.183;0;0;0;0;5
81;FUN;IMB;0;838.07;25980.17;838.64;0.182;0.155;0.182;0.155;0.17;0;0;0;0;5
82;FUN;IMB;0;757.38;23478.78;753.95;0.209;0.2876;0.209;0.2876;0.223;0;0;0;0;5
83;FUN;IMB;0;826.937;30008.8;804.7606271;0.212;0.2715;0.212;0.2715;0.137;0;0;0;0;5
84;FUN;IMB;0;896.064;20188.9;857.9832761;0.129;0.297;0.129;0.297;0.21;0;0;0;0;5
85;FUN;IMB;0;865.439;29942.2;841.1273459;0.142;0.2265;0.142;0.2265;0.202;0;0;0;0;5
86;FUN;IMB;0;890.25;24320;858.8125862;0.22;0.1757;0.22;0.1757;0.243;0;0;0;0;5
87;FUN;IMB;0;910.45;32898;885.9318928;0.218;0.2581;0.218;0.2581;0.223;0;0;0;0;5
88;FUN;IMB;0;881.6;33985;859.3087941;0.201;0.1493;0.201;0.1493;0.172;0;0;0;0;5
89;SEG;IMB;0;893.4;29482.2;867.1235294;0.2;0.203;0.2;0.207;0.207;0;0;0;0;3
90;SEG;IMB;0;914.61;30182.13;887.7097059;0.19;0.193;0.19;0.197;0.197;0;0;0;0;3
91;FUN;IMB;0;805.76;28237;783.4050593;0.145;0.2168;0.145;0.2168;0.23;0;0;0;0;5
92;SEG;IMB;0;871.42;28756.86;845.79;0.18;0.183;0.18;0.187;0.187;0;0;0;0;3
93;SEG;IMB;0;857.87;28309.71;832.6385294;0.164;0.167;0.164;0.171;0.171;0;0;0;0;3
94;SEG;IMB;0;949.123;31321.059;921.2076176;0.185;0.188;0.185;0.192;0.192;1;0;1;1;3
95;SEG;IMB;0;877.51;33109;854.8532518;0.199;0.202;0.199;0.206;0.206;1;0;1;1;5
96;FUN;IMB;0;888.479;32628;864.9265578;0.16;0.2497;0.16;0.2497;0.16;0;0;0;0;5
97;FUN;IMB;0;876.181;33559;853.8871388;0.15;0.1565;0.15;0.1565;0.18;0;0;0;0;5
98;FUN;IMB;0;873.77;34801;852.3690488;0.136;0.1492;0.136;0.1492;0.132;0;0;0;0;5
99;FUN;IMB;0;862.49;31784;839.7038138;0.21;0.2188;0.21;0.2188;0.214;0;0;0;0;5
100;FUN;IMB;0;868.18;33858;846.4748625;0.244;0.2605;0.244;0.2605;0.19;0;0;0;0;5
101;SEG;IMB;0;826.022;24975.3;799.5771401;0.165;0.168;0.165;0.172;0.172;1;0;1;0;5
102;SEG;IMB;0;860.583;31144;837.4424673;0.19;0.193;0.19;0.197;0.197;1;0;0;0;5
103;FUN;IMB;0;868.601;24935.6;839.3628268;0.132;0.2932;0.132;0.2932;0.236;0;0;0;0;5
104;SEG;IMB;0;873.79;33417.8;851.5248042;0.168;0.171;0.168;0.175;0.175;1;0;0;0;5
105;SEG;IMB;0;883.7;31736;859.7596912;0.167;0.17;0.167;0.174;0.174;1;0;0;0;5
106;SEG;IMB;0;875.44;26025.9;846.9508915;0.189;0.192;0.189;0.196;0.196;1;0;0;0;5
107;SEG;IMB;0;929.17;28251;899.5828904;0.156;0.159;0.156;0.163;0.163;1;0;0;0;5
108;SEG;IMB;0;906.21;23227.15;872.1817269;0.146;0.149;0.146;0.153;0.153;0;0;0;0;5
109;SEG;IMB;0;909.16;22543.3;873.9154284;0.169;0.172;0.169;0.176;0.176;0;0;0;0;3
110;FUN;IMB;0;870.75;31870.35;847.5923919;0.278;0.1781;0.278;0.1781;0.205;0;0;0;0;5
111;FUN;IMB;0;884.21;32305.4;860.6536122;0.277;0.1658;0.277;0.1658;0.14;0;0;0;0;5
112;FUN;IMB;0;880.49;33204.25;857.7448466;0.236;0.1964;0.236;0.1964;0.25;0;0;0;0;5
113;SEG;IMB;0;1261.59;55990;1233.789736;0.238;0.241;0.238;0.245;0.245;0;0;0;0;5
114;SEG;IMB;0;1253.2;52470;1223.966629;0.179;0.182;0.179;0.186;0.186;0;0;0;0;5
115;FUN;IMB;0;1201.35;51220;1173.818435;0.196;0.2882;0.196;0.2882;0.167;0;0;0;0;5
116;FUN;IMB;0;731.9;24197;710.4117831;0.216;0.2678;0.216;0.2678;0.217;0;0;0;0;5
117;FUN;IMB;0;654.6;34488;642.4067883;0.145;0.1644;0.145;0.1644;0.21;0;0;0;0;5
118;FUN;IMB;0;898.397;33180;874.7128704;0.139;0.2254;0.139;0.2254;0.205;0;0;0;0;5
119;FUN;IMB;0;987.72;38950;963.2921959;0.207;0.2274;0.207;0.2274;0.121;0;0;0;0;5
120;FUN;IMB;0;939.56;31642;912.4657481;0.204;0.1587;0.204;0.1587;0.154;0;0;0;0;5
121;FUN;IMB;0;907.51;31991;882.4762097;0.265;0.1917;0.265;0.1917;0.122;0;0;0;0;5
122;FUN;IMB;0;1095.69;39109.4;1065.829687;0.275;0.1579;0.275;0.1579;0.174;0;0;0;0;5
123;FUN;IMB;0;1047.54;36742.65;1018.502304;0.25;0.2214;0.25;0.2214;0.179;0;0;0;0;5
124;FUN;IMB;0;1065.67;40551;1038.381595;0.15;0.1978;0.15;0.1978;0.25;0;0;0;0;5
125;FUN;IMB;0;881.25;35035;859.6274319;0.28;0.2163;0.28;0.2163;0.163;0;0;0;0;5
126;FUN;IMB;0;871.86;32846;849.3158688;0.144;0.1897;0.144;0.1897;0.197;0;0;0;0;5
127;FUN;IMB;0;880.16;29838;854.9409887;0.254;0.2511;0.254;0.2511;0.247;0;0;0;0;5
128;SEG;IMB;0;878.38;31804;854.7724346;0.16;0.163;0.16;0.167;0.167;0;0;0;0;3
129;FUN;IMB;0;892.5;37181;871.5784601;0.191;0.2593;0.191;0.2593;0.201;0;0;0;0;5
130;FUN;IMB;0;892.53;31773;868.1431371;0.15;0.2108;0.15;0.2108;0.171;0;0;0;0;5
131;SEG;IMB;0;993.6;30801.6;962.55;0.198;0.201;0.198;0.205;0.205;0;0;0;0;3
132;FUN;IMB;0;787.79;24421.49;763.1715625;0.217;0.2626;0.217;0.2626;0.236;0;0;0;0;5
133;FUN;IMB;0;788.4;24440.4;763.7625;0.143;0.2032;0.143;0.2032;0.2;0;0;0;0;5
134;FUN;IMB;0;818.5;25373.5;792.921875;0.22;0.1991;0.22;0.1991;0.209;0;0;0;0;5
135;FUN;IMB;0;828.8;25692.8;802.9;0.267;0.2927;0.267;0.2927;0.147;0;0;0;0;5
136;FUN;IMB;0;818.5;25373.5;792.921875;0.194;0.2726;0.194;0.2726;0.144;0;0;0;0;5
137;FUN;IMB;0;841.5;26086.5;815.203125;0.182;0.2966;0.182;0.2966;0.161;0;0;0;0;5
138;FUN;IMB;0;824.3;25553.3;798.540625;0.156;0.2865;0.156;0.2865;0.128;0;0;0;0;5
139;FUN;IMB;0;844.1;26167.1;817.721875;0.173;0.1798;0.173;0.1798;0.136;0;0;0;0;5
140;FUN;IMB;0;854.4;26486.4;827.7;0.251;0.1708;0.251;0.1708;0.181;0;0;0;0;5
141;FUN;IMB;0;909.9;28206.9;881.465625;0.259;0.1542;0.259;0.1542;0.196;0;0;0;0;5
142;FUN;IMB;0;833.9;25850.9;807.840625;0.191;0.182;0.191;0.182;0.243;0;0;0;0;5
143;FUN;IMB;0;771.3;23910.3;747.196875;0.17;0.1992;0.17;0.1992;0.22;0;0;0;0;5
144;FUN;IMB;0;825.6;25593.6;799.8;0.195;0.1813;0.195;0.1813;0.162;0;0;0;0;5
145;FUN;IMB;0;901.18;30683;875.4669566;0.149;0.1658;0.149;0.1658;0.141;0;0;0;0;5
146;FUN;IMB;0;896.71;28852;869.6806322;0.249;0.2732;0.249;0.2732;0.162;0;0;0;0;5
147;FUN;IMB;0;902.51;25452;871.6035517;0.269;0.1742;0.269;0.1742;0.223;0;0;0;0;5
148;FUN;IMB;0;886.2;27472.2;858.50625;0.132;0.2836;0.132;0.2836;0.198;0;0;0;0;5
149;FUN;IMB;0;892.3;27661.3;864.415625;0.152;0.2381;0.152;0.2381;0.194;0;0;0;0;5
150;FUN;IMB;0;975.3;30234.3;944.821875;0.214;0.1779;0.214;0.1779;0.227;0;0;0;0;5
151;FUN;IMB;0;924;29568;896;0.182;0.2662;0.182;0.2662;0.248;0;0;0;0;5
152;FUN;IMB;0;878.8;27242.8;851.3375;0.162;0.143;0.162;0.143;0.227;0;0;0;0;5
153;FUN;IMB;0;844;25736;817.200301;0.183;0.1915;0.183;0.1915;0.231;0;0;0;0;5
154;FUN;IMB;0;904.47;33512.4;880.7006688;0.149;0.1482;0.149;0.1482;0.191;0;0;0;0;5
155;SEG;IMB;0;911.6;31154.55;885.6843675;0.163;0.166;0.163;0.17;0.17;0;0;0;0;3
156;SEG;IMB;0;902.26;33992.25;878.9304531;0.159;0.162;0.159;0.166;0.166;0;0;0;0;3
157;FUN;IMB;0;974.27;41477.95;951.9106974;0.126;0.2377;0.126;0.2377;0.185;0;0;0;0;5
158;FUN;IMB;0;869.2;26945.2;842.0375;0.131;0.2884;0.131;0.2884;0.193;0;0;0;0;5
159;FUN;IMB;0;889.6;27577.6;861.8;0.217;0.2063;0.217;0.2063;0.223;0;0;0;0;5
160;FUN;IMB;0;868.8;26932.8;841.65;0.232;0.172;0.232;0.172;0.244;0;0;0;0;5
161;FUN;IMB;0;890.21;30927.5;865.3033099;0.221;0.1683;0.221;0.1683;0.158;0;0;0;0;5
162;FUN;IMB;0;845.33;30671.2;822.6567295;0.184;0.2905;0.184;0.2905;0.219;0;0;0;0;5
163;FUN;IMB;0;825.06;31342.6;803.8982492;0.231;0.2782;0.231;0.2782;0.16;0;0;0;0;5
164;FUN;IMB;0;839.35;28583.1;815.4054127;0.134;0.1532;0.134;0.1532;0.224;0;0;0;0;5
165;FUN;IMB;0;845.62;29518.1;822.0697504;0.258;0.2228;0.258;0.2228;0.224;0;0;0;0;5
166;FUN;IMB;0;835.53;30954;813.569613;0.187;0.1715;0.187;0.1715;0.167;0;0;0;0;5
167;FUN;IMB;0;853.91;32690.3;832.1726484;0.12;0.291;0.12;0.291;0.184;0;0;0;0;5
168;FUN;IMB;0;829.01;27933;805.1153702;0.24;0.2239;0.24;0.2239;0.241;0;0;0;0;5
169;FUN;IMB;0;881.96;28304;855.3083688;0.22;0.2718;0.22;0.2718;0.172;0;0;0;0;5
170;SEG;IMB;0;820.44;29512.9;798.2491765;0.141;0.144;0.141;0.148;0.148;0;0;0;0;3
171;FUN;IMB;0;854.06;29284.1;829.8575111;0.242;0.1819;0.242;0.1819;0.125;0;0;0;0;5
172;FUN;IMB;0;849.61;26404;823.124072;0.212;0.2545;0.212;0.2545;0.158;0;0;0;0;5
173;FUN;IMB;0;830.13;29654.4;807.524573;0.141;0.2212;0.141;0.2212;0.243;0;0;0;0;5
174;FUN;IMB;0;822.54;27247.6;798.4370902;0.148;0.2209;0.148;0.2209;0.16;0;0;0;0;5
175;FUN;IMB;0;857.19;28997.4;832.5782168;0.189;0.2383;0.189;0.2383;0.217;0;0;0;0;5
176;FUN;IMB;0;844.51;32016;822.8062242;0.164;0.1983;0.164;0.1983;0.158;0;0;0;0;5
177;FUN;IMB;0;855.37;31180;832.5309369;0.263;0.2435;0.263;0.2435;0.195;0;0;0;0;5
178;FUN;IMB;0;892.12;31555;867.5915335;0.144;0.2885;0.144;0.2885;0.225;0;0;0;0;5
179;FUN;IMB;0;868.03;33208;845.9183843;0.279;0.2176;0.279;0.2176;0.225;0;0;0;0;5
180;FUN;IMB;0;855.34;30383;831.919853;0.215;0.2091;0.215;0.2091;0.249;0;0;0;0;5
181;FUN;IMB;0;905.95;32699;881.5266516;0.167;0.2439;0.167;0.2439;0.199;0;0;0;0;5
182;FUN;IMB;0;1127;33654;1090.482102;0.171;0.2024;0.171;0.2024;0.145;0;0;0;0;5
183;D3;IMB;0;1159;37097;1123.88705;0.78;0.689;0.78;0.689;0.452;0;0;0;0;5
184;FUN;IMB;0;1204.6;43110;1171.855461;0.184;0.2085;0.184;0.2085;0.135;0;0;0;0;5
185;FUN;IMB;0;1311;40350;1269.745085;0.266;0.2257;0.266;0.2257;0.132;0;0;0;0;5
186;FUN;IMB;0;1229;42984;1194.837175;0.155;0.2039;0.155;0.2039;0.241;0;0;0;0;5
187;FUN;IMB;0;1160.1;41459;1128.521858;0.268;0.2839;0.268;0.2839;0.176;0;0;0;0;5
188;SEG;IMB;0;743.22;26099;722.6413754;0.137;0.14;0.137;0.144;0.144;0;0;0;0;3
189;FUN;IMB;0;739.16;29057;720.8234927;0.232;0.1867;0.232;0.1867;0.212;0;0;0;0;5
190;FUN;IMB;0;718.16;23207;696.6030371;0.253;0.2305;0.253;0.2305;0.167;0;0;0;0;5
191;FUN;IMB;0;751.34;26622;730.717314;0.201;0.1863;0.201;0.1863;0.22;0;0;0;0;5
192;FUN;IMB;0;734.41;23987;712.5925532;0.153;0.2704;0.153;0.2704;0.197;0;0;0;0;5
193;SEG;IMB;0;715.7272727;23619;694.6764706;0.149;0.152;0.149;0.156;0.156;0;0;0;0;3
194;FUN;IMB;0;799.3;24778.3;774.321875;0.148;0.2679;0.148;0.2679;0.247;0;0;0;0;5
195;FUN;IMB;0;814.5;26878.5;790.5441176;0.123;0.2781;0.123;0.2781;0.147;0;0;0;0;5
196;FUN;IMB;0;833.1;25826.1;807.065625;0.189;0.1602;0.189;0.1602;0.174;0;0;0;0;5
197;FUN;IMB;0;841.4;26083.4;815.10625;0.278;0.1763;0.278;0.1763;0.201;0;0;0;0;5
198;FUN;IMB;0;900;27900;871.875;0.123;0.1994;0.123;0.1994;0.233;0;0;0;0;5
199;FUN;IMB;0;828;27324;803.6470588;0.276;0.2002;0.276;0.2002;0.226;0;0;0;0;5
200;FUN;IMB;0;952;32951;925.2677344;0.146;0.1738;0.146;0.1738;0.202;0;0;0;0;5
201;FUN;IMB;0;814.2;26868.6;790.2529412;0.228;0.1814;0.228;0.1814;0.185;0;0;0;0;5
202;FUN;IMB;0;884.4;27416.4;856.7625;0.151;0.1591;0.151;0.1591;0.249;0;0;0;0;5
203;FUN;IMB;0;781;25773;758.0294118;0.25;0.2461;0.25;0.2461;0.128;0;0;0;0;5
204;FUN;IMB;0;751.6;24802.8;729.4941176;0.225;0.2785;0.225;0.2785;0.242;0;0;0;0;5
205;FUN;IMB;0;867.69;28929.7;842.4231583;0.181;0.2917;0.181;0.2917;0.234;0;0;0;0;5
206;FUN;IMB;0;728.9;22595.9;706.121875;0.132;0.1577;0.132;0.1577;0.176;0;0;0;0;5
207;FUN;IMB;0;787.59;12202.9;739.8398375;0.255;0.1488;0.255;0.1488;0.17;0;0;0;0;5
208;FUN;IMB;0;887.3;27506.3;859.571875;0.122;0.2558;0.122;0.2558;0.157;0;0;0;0;5
209;FUN;IMB;0;1176.4;38821.2;1141.8;0.232;0.1807;0.232;0.1807;0.141;0;0;0;0;5
210;FUN;IMB;0;829;25699;803.09375;0.223;0.1999;0.223;0.1999;0.155;0;0;0;0;5
211;SEG;IMB;0;1209.1;39900.3;1173.538235;0.261;0.264;0.261;0.268;0.268;0;0;0;0;3
212;FUN;IMB;0;859.035;27248.575;832.7808599;0.228;0.2171;0.228;0.2171;0.239;0;0;0;0;5
213;FUN;IMB;0;1056.2;32742.2;1023.19375;0.229;0.1834;0.229;0.1834;0.147;0;0;0;0;5
214;FUN;IMB;0;935.91;29013.21;906.6628125;0.247;0.2156;0.247;0.2156;0.133;0;0;0;0;5
215;FUN;IMB;0;841.8;26095.8;815.49375;0.205;0.2521;0.205;0.2521;0.126;0;0;0;0;5
216;FUN;IMB;0;907;28117;878.65625;0.265;0.1768;0.265;0.1768;0.242;0;0;0;0;5
217;FUN;IMB;0;873.76;27086.56;846.455;0.26;0.209;0.26;0.209;0.228;0;0;0;0;5
218;FUN;IMB;0;986.02;30566.62;955.206875;0.134;0.1768;0.134;0.1768;0.183;0;0;0;0;5
219;FUN;IMB;0;903.13;27997.03;874.9071875;0.156;0.2536;0.156;0.2536;0.139;0;0;0;0;5
220;FUN;IMB;0;911;28241;882.53125;0.141;0.2458;0.141;0.2458;0.199;0;0;0;0;5
221;FUN;IMB;0;1000.2;31006.2;968.94375;0.176;0.1624;0.176;0.1624;0.201;0;0;0;0;5
222;SEG;IMB;0;1349.9;66533;1323.056273;0.23;0.233;0.23;0.237;0.237;0;0;0;0;3
223;FUN;IMB;0;996.6;32887.8;967.2882353;0.124;0.2032;0.124;0.2032;0.177;0;0;0;0;5
224;FUN;IMB;0;836.6;27607.8;811.9941176;0.155;0.2413;0.155;0.2413;0.14;0;0;0;0;5
225;FUN;IMB;0;1013.1;31406.1;981.440625;0.233;0.2292;0.233;0.2292;0.235;0;0;0;0;5
226;FUN;IMB;0;959.9;29756.9;929.903125;0.122;0.1637;0.122;0.1637;0.149;0;0;0;0;5
227;FUN;IMB;0;919.1;28492.1;890.378125;0.246;0.1803;0.246;0.1803;0.207;0;0;0;0;5
228;SEG;IMB;0;928.15;30628.95;900.8514706;0.24;0.243;0.24;0.247;0.247;0;0;0;0;3
229;FUN;IMB;0;944.98;29294.38;915.449375;0.242;0.2155;0.242;0.2155;0.188;0;0;0;0;5
230;SEG;IMB;0;1251.4;72796;1230.251358;0.21;0.213;0.21;0.217;0.217;0;0;0;0;3
231;FUN;IMB;0;737.5;23362;714.9308077;0.168;0.1533;0.168;0.1533;0.181;0;0;0;0;5
232;FUN;IMB;0;777.42;26682;755.4099992;0.16;0.1502;0.16;0.1502;0.245;0;0;0;0;5
233;FUN;IMB;0;928.8;32648;903.1075743;0.13;0.2065;0.13;0.2065;0.23;0;0;0;0;5
234;FUN;IMB;0;836.9;28418;812.9586565;0.214;0.2957;0.214;0.2957;0.24;0;0;0;0;5
235;FUN;IMB;0;829.4;24007;801.7025736;0.187;0.2908;0.187;0.2908;0.157;0;0;0;0;5
236;FUN;IMB;0;762.949;25499.8;740.7848626;0.173;0.2169;0.173;0.2169;0.168;0;0;0;0;5
237;FUN;IMB;0;775.534;24370.3;751.6154064;0.158;0.1497;0.158;0.1497;0.215;0;0;0;0;5
238;FUN;IMB;0;788.477;26857.1;765.9889188;0.194;0.1489;0.194;0.1489;0.161;0;0;0;0;5
